Functions/Helpers/IsPointInsideSphere.uasset	IsPointInsideSphere	Provide a point in space and a sphere origin and radius, and return a boolean whether the point is inside of the sphere.	—
Functions/Helpers/PointPlaneDistance.uasset	PointPlaneDistance	—	—
Functions/Helpers/PointPlaneProject.uasset	PointPlaneProject	—	—
Functions/Helpers/ProjectPositionOnPlane.uasset	ProjectPositionOnPlane	—	—
Functions/Helpers/ScaleUVsByCenter.uasset	ScaleUVsByCenter	—	—
Functions/Helpers/SetBoolByTimer.uasset	SetBoolByTimer	Returns a bool which says whether a timer is active or not. Takes a timer attribute (Particles.MyDelayTimer, for example) as input and expects that attribute to be written back to the parameter map for subsequent reads as the timer ticks down. The timer is triggered by a "Timer Trigger" Which sets the state of the timer upon the toggling of the bool.	—
Functions/IncrementOverTime.uasset	IncrementOverTime	Default value for Particles.Module.Counter if no other module has set it previously in the stack.	—
Functions/IndexToGridLocation.uasset	IndexToGridLocation	640 | 1	Convert an index and grid cell count into a 3d grid location.
Functions/Intersections/CalculateCylinderPlaneIntersectionArea.uasset	CalculateCylinderPlaneIntersectionArea	Transient.OutputIntersection Centroid Position	—
Functions/Intersections/SphereCast_GlobalDistanceField.uasset	SphereCast_GlobalDistanceField	This function sphere traces a distance field to find the nearest isosurface in between the starting position and the starting position + ray.	—
Functions/Intersections/v2/CalculateCylinderPlaneIntersection.uasset	CalculateCylinderPlaneIntersection	Output.Module.Intersection Centroid Position	—
Functions/IsolateLongestVectorComponent.uasset	IsolateLongestVectorComponent	—	—
Functions/LineSegmentPlaneIntersection.uasset	LineSegmentPlaneIntersection	Find the intersection of a line segment and a plane.	—
Functions/LinearColor/HSVToRGB.uasset	HSVToRGB	Converts a HSV color to a RGB color (hue is assumed to be normalized to 0-1).	—
Functions/LinearColor/HueShiftLinearColor.uasset	HueShiftLinearColor	Rotates linear color around the hue circle via normalized angle (0-1). Also supports Saturation and Value Adjustments	—
Functions/LinearColor/RGBToHSV.uasset	RGBToHSV	Converts a RGB color to a HSV color (hue is normalized to 0-1).	—
Functions/Localspace/ENiagaraCoordinateSpace.uasset	ENiagaraCoordinateSpace	—	—
Functions/Localspace/ENiagaraOrientationAxis.uasset	ENiagaraOrientationAxis	—	—
Functions/Localspace/LWCSimulationToWorld.uasset	LWCSimulationToWorld	—	—
Functions/Localspace/LWCWorldToSimulation.uasset	LWCWorldToSimulation	—	—
Functions/Localspace/NF_InitialParticlePosition.uasset	NF_InitialParticlePosition	—	—
Functions/Localspace/NF_OwnerAxes.uasset	NF_OwnerAxes	—	—
Functions/Localspace/NF_TransformBase.uasset	NF_TransformBase	—	—
Functions/Localspace/NF_TransformOffset.uasset	NF_TransformOffset	—	—
Functions/Localspace/NF_TransformPosition.uasset	NF_TransformPosition	—	—
Functions/Localspace/NF_TransformVector.uasset	NF_TransformVector	—	—
Functions/Localspace/OwnerAxes.uasset	OwnerAxes	Returns The world space Engine Owner X Y and Z axes, or returns their localspace equivalent if the localspace flag on the emitter is checked.	—
Functions/Localspace/ParticleOwnerPosition.uasset	ParticleOwnerPosition	—	—
Functions/Localspace/PositionToVector.uasset	PositionToVector	WARNING: Conversions between Positions and Vectors is a potentially unsafe or at least lossy operation if working in Large World Coordinate space. Most operations to Positions can be accomplished by adding or removing offset vectors to them, and conversion between the types can lead to unintended side effects.	—
Functions/Localspace/SimulationPosition.uasset	SimulationPosition	Returns either the Engine.Owner.Position (the emitter's position in the world) or, if the localspace flag is checked, returns 0,0,0	—
Functions/Localspace/TransformBase.uasset	TransformBase	Transforms a position from one coordinate space into another.	—
Functions/Localspace/TransformOffset.uasset	TransformOffset	Transforms a offset from a Source coordinate space into the Destination coordinate space.	—
Functions/Localspace/TransformPosition.uasset	TransformPosition	Transforms a Position from a Source coordinate space into the Destination coordinate space.	—
Functions/Localspace/TransformQuaternion.uasset	TransformQuaternion	Transforms a Quaternion from a Source coordinate space into the Destination coordinate space.	—
Functions/Localspace/TransformVector.uasset	TransformVector	Transforms a Vector from a Source coordinate space into the Destination coordinate space. Use this when transforming vectors such as surface normals.	—
Functions/Localspace/V2/TransformBase.uasset	TransformBase	Transforms a position from one coordinate space into another.	—
